,Acetivibrio,Acetoanaerobium,Acidaminococcus,Aciduliprofundum,Actinomyces,Acyrthosiphon,Adlercreutzia,Aerococcus,Aeromonas,Afipia,Agrobacterium,Akkermansia,Alicyclobacillus,Alistipes,Alloprevotella,Amycolatopsis,Anaerobium,Anaeroglobus,Anaerosporomusa,Anaerostipes,Anaerotruncus,Ascaris,Asticcacaulis,Atopobium,Azospirillum,Bacillus,Bacteroides,Barnesiella,Bifidobacterium,Bilophila,Blastopirellula,Blautia,Brachyspira,Brenneria,Burkholderia,Butyricicoccus,Butyrivibrio,Camponotus,Campylobacter,Candidatus Izimaplasma,Candidatus Solibacter,Candidatus Stoquefichus,Capnocytophaga,Catenibacterium,Catonella,Cecembia,Cellulosilyticum,Chlamydia,Chryseobacterium,Cloacibacillus,Clostridium,Collinsella,Coprobacillus,Coprobacter,Coprococcus,Corallococcus,Corynebacterium,Cryptobacterium,Dehalobacter,Desulfitobacterium,Desulfococcus,Desulfovibrio,Dialister,Dietzia,Dokdonia,Dorea,Dyadobacter,Dysgonomonas,Eggerthella,Enterobacter,Enterococcus,Enterorhabdus,Erysipelatoclostridium,Escherichia,Eubacterium,Faecalibacterium,Flavobacterium,Flavonifractor,Fusicatenibacter,Fusobacterium,Gemella,Geobacter,Gordonibacter,Granulicatella,Granulicella,Halomonas,Halopiger,Herbinix,Holdemanella,Holdemania,Hungatella,Hymenobacter,Intestinibacter,Johnsonella,Klebsiella,Kocuria,Lachnoanaerobaculum,Lachnoclostridium,Lachnospira,Lactobacillus,Lactococcus,Legionella,Leptolyngbya,Macellibacteroides,Magnetospira,Mannheimia,Marvinbryantia,Megamonas,Megasphaera,Methanobrevibacter,Methanomassiliicoccus,Mitsuokella,Moorella,Mycobacterium,Mycoplasma,Naegleria,Neisseria,Niabella,Nitrosopumilus,Nitrospira,Odoribacter,Olsenella,Oreochromis,Oribacterium,Ornithobacterium,Oryza,Oscillibacter,Ostreococcus,Oxobacter,Paenibacillus,Paludibacter,Parabacteroides,Paraprevotella,Parvimonas,Pediococcus,Pedobacter,Peptoanaerobacter,Peptoclostridium,Peptoniphilus,Peptostreptococcus,Phascolarctobacterium,Planktothrix,Pleurocapsa,Polaromonas,Porphyromonas,Prevotella,Proteiniphilum,Providencia,Pseudarthrobacter,Pseudobacteroides,Pseudoflavonifractor,Pseudoramibacter,Pyramidobacter,Raoultella,Rhizoctonia,Rhodobacter,Robinsoniella,Roseburia,Roseiflexus,Roseovarius,Ruminiclostridium,Ruminococcus,Ruthenibacterium,Sanguibacteroides,Sediminicola,Shuttleworthia,Sinorhizobium,Slackia,Solobacterium,Sporolactobacillus,Staphylococcus,Stegodyphus,Stenotrophomonas,Stomatobaculum,Streptococcus,Streptomyces,Subdoligranulum,Succinatimonas,Sulfurospirillum,Sutterella,Tannerella,Tepidanaerobacter,Tetragenococcus,Thalassiosira,Thermaerobacter,Thermoanaerobacter,Thermosulfidibacter,Thermovenabulum,Treponema,Tribonema,Turicibacter,Tyzzerella,Variovorax,Veillonella,Vibrio
Thermaerobacter,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9943879728701825,1.0,0.9963265980653877,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9960161814558859,1.0,0.9990022335576761,0.9911048388761209,1.0,0.998308566264581,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9799673351361482,1.0,1.0,1.0,1.0,1.0,1.0,0.9994692589407793,0.9985215321286224,1.0,1.0,0.9954736738764431,1.0,1.0,1.0,1.0,1.0,1.0,0.9993165038490655,1.0,1.0,1.0,0.9975359749467284,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9962910404189678,0.9962065922679657,1.0,1.0,0.9915139635779331,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8383652901738053,1.0,1.0,1.0,1.0,1.0,0.999166284034049,1.0,1.0,1.0,1.0,1.0,0.9984468214254195,1.0,1.0,1.0,1.0,0.9989050865509842,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9862272999844385,1.0,1.0,1.0,1.0,0.9992204436216884,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9918766432170474,1.0,1.0,1.0,0.9997471036018793,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99923828225167,1.0,1.0,0.9958003796563428,1.0,1.0,1.0,1.0,,,,,,,,,,,
Thermoanaerobacter,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9957873852584747,1.0,0.9956644088981808,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45248008988467003,1.0,1.0,0.9993630596955291,1.0,0.9981930958538784,0.9986435009200368,1.0,0.999929617190108,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9981430075905436,0.9981666584182703,1.0,1.0,0.9990746991094209,1.0,1.0,1.0,1.0,1.0,1.0,0.9985247257309713,1.0,1.0,1.0,0.9982047506030478,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999079176991801,0.9969847137642843,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9954598599148283,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.996576333607131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994180086231789,1.0,1.0,1.0,1.0,0.9985000148568018,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949586676967233,1.0,1.0,1.0,1.0,0.9992367564074367,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998436854934297,1.0,1.0,1.0,1.0,1.0,0.9964625270929958,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9956243411480425,1.0,1.0,0.9954571787083873,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
Thermosulfidibacter,1.0,1.0,1.0,1.0,0.9954094988542184,1.0,0.9922182038358887,1.0,1.0,1.0,1.0,0.9978848120411234,1.0,0.9950343407988781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9901689737845019,1.0,0.990951614747252,0.9924838776693549,1.0,0.9426228025475824,1.0,1.0,1.0,0.9985573227783812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9878250843106908,0.9923683234612841,1.0,1.0,0.9973109332980279,1.0,1.0,1.0,1.0,1.0,1.0,0.9965410552537062,1.0,1.0,1.0,0.9951996039540029,1.0,1.0,0.9827961938229057,1.0,1.0,1.0,0.9964997413354071,1.0,0.9970887601657227,0.9887623705461276,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9958365939057066,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9981942592918093,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9899246814182839,1.0,1.0,0.9946381418594935,1.0,1.0,0.9933321329933261,1.0,1.0,1.0,1.0,0.9939927610221685,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9945050416096904,1.0,1.0,1.0,1.0,0.9991436004022038,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9316579048246797,1.0,1.0,1.0,0.9962659519425616,1.0,1.0,1.0,1.0,1.0,0.9993269631389579,1.0,1.0,1.0,1.0,1.0,1.0,0.9900513616600296,1.0,0.9964710215315215,1.0,1.0,0.9832759892920683,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
Thermovenabulum,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9988264009950166,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9986635710905459,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9983221157001047,0.9981846367832136,1.0,1.0,0.99902434001642,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998378809442948,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9991659634733655,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9975073832740438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993201418106746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98814703830101,1.0,1.0,1.0,0.9996994440944151,1.0,1.0,1.0,1.0,1.0,0.9982009519364065,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
Treponema,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9984209331310236,1.0,0.9973266708872183,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949857454893228,1.0,0.9989733521497884,0.9917279734600051,1.0,0.9998390761567221,1.0,1.0,1.0,0.9980485255631519,0.8560548893042479,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9940008767519457,0.9980897294124826,1.0,1.0,0.9961402146381454,1.0,1.0,1.0,1.0,1.0,1.0,0.997547407975675,1.0,1.0,1.0,0.9970528573132876,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9958251380856241,0.9962038976957746,1.0,1.0,0.9926476420150406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.973052552559545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9918984525839881,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996161541070642,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994859468462262,1.0,1.0,1.0,1.0,0.9975904680175196,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4021275560672646,1.0,1.0,1.0,1.0,0.9973485635929684,0.9943999547529059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9962148601687011,1.0,1.0,0.9954294004615535,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
Tribonema,1.0,1.0,1.0,1.0,0.9398229468625063,1.0,0.9687390488277455,0.0,1.0,1.0,1.0,0.9678613486776101,1.0,0.959625960342806,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975831352627561,1.0,0.9668839387627145,0.9819824439001774,1.0,0.9956055290319867,1.0,1.0,1.0,0.9840370823515402,0.9409858564046194,1.0,0.5860033181788801,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9773832333938918,0.954985457470802,1.0,1.0,0.9970439665124149,0.9736423988471288,1.0,1.0,1.0,1.0,1.0,0.9799038980838789,1.0,1.0,1.0,0.9999702342584996,1.0,1.0,1.0,1.0,0.9919399310410133,0.0,1.0,0.0,0.9793650195399951,0.9772935113606327,1.0,0.9766621404025063,1.0,1.0,0.8678795899588488,1.0,0.991999029879215,1.0,1.0,1.0,1.0,0.11005742618254855,0.854863026408741,0.9953744243271475,0.9704413483999464,1.0,0.7629575007118503,1.0,1.0,1.0,1.0,0.9911862220272216,0.4839675121637742,0.796678277747647,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3220681908562578,1.0,1.0,1.0,1.0,1.0,1.0,0.9834043021917124,1.0,1.0,1.0,1.0,1.0,0.9946460285886528,1.0,1.0,1.0,1.0,1.0,0.9487541188934235,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9784197904005477,1.0,1.0,1.0,0.9916756652118278,0.6445281662991524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9992958392503981,1.0,1.0,1.0,0.9886053849178368,1.0,0.970096007141966,1.0,1.0,1.0,0.998121000846722,1.0,1.0,0.0,1.0,1.0,1.0,0.9451341351722546,1.0,0.9759016619769655,1.0,1.0,0.9816984619259697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
Turicibacter,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9869521473223543,1.0,0.9946349221972933,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9950483492140213,1.0,0.9965468777521852,1.0,1.0,0.9870145199882444,0.0,1.0,1.0,0.99538647944582,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9906350548682692,0.988486656218441,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995809087791825,1.0,1.0,1.0,0.9966702584779384,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9916181766843658,0.9944681206111883,1.0,0.9813873965072551,1.0,1.0,0.9876136669056841,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.91753381384655,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9966354510733381,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9733938958709185,1.0,1.0,0.0623129198930964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9982231284699586,0.9990026858738746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995458030515735,1.0,1.0,1.0,0.9914269326330363,0.9937323104294598,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99771920062621,1.0,1.0,1.0,1.0,1.0,0.9928038547057989,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9404538126908776,1.0,1.0,1.0,1.0,0.9965772578898633,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
Tyzzerella,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993414597216478,1.0,1.0,1.0,1.0,0.995862780975821,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9983183889493747,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996749242913247,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9975504113332525,1.0,0.9724719648885551,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999928376579058,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999967233768529,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996341907692069,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Variovorax,1.0,1.0,1.0,1.0,0.8673330369792349,1.0,1.0,1.0,1.0,1.0,1.0,0.9397318965893408,1.0,0.996270643324313,1.0,1.0,1.0,1.0,1.0,1.0,0.9987445356521643,1.0,1.0,1.0,1.0,1.0,0.9904751270963066,1.0,0.9988373341715733,0.9982712478455309,1.0,0.9946545150800676,1.0,1.0,1.0,0.9968524202241963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.993312035429565,1.0,1.0,1.0,1.0,1.0,1.0,0.9922400545765977,0.9351031743494669,1.0,1.0,0.9969668645586792,1.0,1.0,1.0,1.0,1.0,1.0,0.9997959537172091,1.0,1.0,1.0,0.9957432328935412,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9962614799738966,0.9941670315756925,1.0,0.9786128496052184,1.0,1.0,0.6326653624775647,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9763700563563873,1.0,1.0,1.0,1.0,1.0,1.0,0.9977649934179663,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9963298228787518,1.0,1.0,1.0,1.0,1.0,0.9991830532858951,0.0,1.0,1.0,1.0,0.9986838257156538,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999249219555473,1.0,1.0,1.0,0.8400411684351862,0.9871558092145946,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8959312791323281,1.0,1.0,1.0,1.0,0.9807461666750246,1.0,0.4839621387335449,1.0,1.0,1.0,1.0,0.9484573697751687,1.0,1.0,1.0,1.0,1.0,0.9786944457607396,1.0,0.9682478098394567,1.0,1.0,0.9996249890488367,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
Veillonella,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9982745795650767,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9981029782863763,0.9977745851162377,0.9981029782863763,0.9905807730913025,1.0,1.0,0.9970210517829096,1.0,1.0,1.0,0.999518810919643,1.0,0.20949030224859544,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9929642836871944,0.9823057804661399,1.0,1.0,0.9979332995858471,1.0,1.0,1.0,1.0,1.0,1.0,0.9998673511922451,1.0,1.0,1.0,0.9981029782863763,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9947969781337215,0.9981029782863763,0.9981029782863763,0.9813513448605654,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9981029782863763,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9991741806016551,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9813513448605654,1.0,1.0,1.0,0.9981029782863763,1.0,1.0,1.0,1.0,1.0,0.9940530170772207,1.0,1.0,1.0,1.0,0.9981029782863763,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9955331006385383,1.0,1.0,1.0,1.0,0.9997969137202015,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9981029782863763,1.0,1.0,1.0,0.9981029782863763,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9981029782863763,1.0,1.0,0.9981029782863763,1.0,1.0,0.9998613256440408,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
Vibrio,1.0,1.0,1.0,1.0,0.9398229468625063,1.0,0.9687390488277455,0.8948075877484444,1.0,1.0,1.0,0.9678613486776101,1.0,0.959625960342806,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975831352627561,1.0,0.964335875584825,0.9819824439001774,1.0,0.995576508063262,1.0,1.0,1.0,0.9840370823515402,0.9409858564046194,1.0,0.8948075877484444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9765287092843125,0.9542082517041898,1.0,1.0,0.969249707723025,0.9736423988471288,1.0,1.0,1.0,1.0,1.0,0.9799038980838789,1.0,1.0,1.0,0.9981432532684323,1.0,1.0,1.0,1.0,0.9919399310410133,0.8948075877484444,1.0,0.8948075877484444,0.9793650195399951,0.9772935113606327,1.0,0.9766621404025063,1.0,1.0,0.8948075877484444,1.0,0.991999029879215,1.0,1.0,1.0,1.0,0.8948075877484444,0.8948075877484444,0.9953744243271475,0.9704413483999464,1.0,0.8948075877484444,1.0,1.0,1.0,1.0,0.9911862220272216,0.8948075877484444,0.8948075877484444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8948075877484444,1.0,1.0,1.0,1.0,1.0,1.0,0.9834043021917124,0.9866818642632403,1.0,1.0,1.0,1.0,0.9946460285886528,1.0,1.0,1.0,1.0,1.0,0.9487541188934235,1.0,1.0,1.0,1.0,0.8948075877484444,1.0,1.0,0.9784197904005477,1.0,1.0,1.0,0.9916756652118278,0.8939563612928713,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9992958392503981,1.0,1.0,1.0,0.9886053849178368,1.0,0.970096007141966,1.0,1.0,1.0,0.998121000846722,1.0,1.0,0.8948075877484444,1.0,1.0,0.3198365228971265,0.9451341351722546,1.0,0.9759016619769655,1.0,1.0,0.9816984619259697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8948075877484444,1.0,1.0,1.0,1.0,
Weissella,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998796664090737,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9979049293451665,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
