,Acetivibrio,Acetoanaerobium,Acidaminococcus,Acidobacterium,Aciduliprofundum,Actinomyces,Acyrthosiphon,Adlercreutzia,Aerococcus,Aeromonas,Afipia,Agrobacterium,Akkermansia,Alistipes,Allofrancisella,Alloiococcus,Alloprevotella,Anaerobium,Anaerococcus,Anaerofustis,Anaeroglobus,Anaerosporomusa,Anaerostipes,Anaerotruncus,Arcobacter,Ascaris,Asticcacaulis,Atopobium,Azospirillum,Bacillus,Bacteroides,Barnesiella,Bifidobacterium,Bilophila,Blastopirellula,Blautia,Burkholderia,Butyricicoccus,Butyrivibrio,Camponotus,Campylobacter,Candidatus Izimaplasma,Candidatus Phytoplasma,Candidatus Solibacter,Candidatus Stoquefichus,Capnocytophaga,Catenibacterium,Catonella,Cecembia,Cellulosilyticum,Chlamydia,Chryseobacterium,Cloacibacillus,Clostridium,Collinsella,Coprobacillus,Coprobacter,Coprococcus,Corallococcus,Coriobacterium,Corynebacterium,Dehalobacter,Desulfitobacterium,Desulfosporosinus,Desulfovibrio,Devosia,Dialister,Dokdonia,Dorea,Dyadobacter,Dysgonomonas,Eggerthella,Enterobacter,Enterococcus,Enterorhabdus,Erysipelatoclostridium,Eubacterium,Faecalibacterium,Flavobacterium,Flavonifractor,Fusicatenibacter,Fusobacterium,Gemella,Gemmatimonas,Geobacillus,Gordonibacter,Granulicatella,Granulicella,Haematobacter,Halomonas,Helicobacter,Herbinix,Holdemanella,Holdemania,Hungatella,Intestinibacter,Johnsonella,Klebsiella,Lachnoanaerobaculum,Lachnoclostridium,Lachnospira,Lactobacillus,Lactococcus,Leptolyngbya,Macellibacteroides,Mageeibacillus,Marvinbryantia,Megamonas,Megasphaera,Methanobrevibacter,Methanomassiliicoccus,Mitsuokella,Mogibacterium,Moorella,Mycobacterium,Mycoplasma,Naegleria,Nitrosopumilus,Odoribacter,Oenococcus,Olsenella,Oribacterium,Oryctes,Oryza,Oscillibacter,Ostreococcus,Paludibacter,Parabacteroides,Paraclostridium,Paraprevotella,Parvimonas,Pedobacter,Peptoanaerobacter,Peptoclostridium,Peptoniphilus,Peptostreptococcus,Phascolarctobacterium,Pirellula,Planktothrix,Polaromonas,Porphyromonas,Prevotella,Proteiniphilum,Pseudarthrobacter,Pseudoflavonifractor,Pseudoramibacter,Pyramidobacter,Raoultella,Rhodobacter,Robinsoniella,Roseburia,Roseiflexus,Roseovarius,Ruminiclostridium,Ruminococcus,Ruthenibacterium,Sanguibacteroides,Selenomonas,Shuttleworthia,Slackia,Smithella,Solobacterium,Staphylococcus,Stenotrophomonas,Stomatobaculum,Streptococcus,Streptomyces,Subdoligranulum,Succinatimonas,Sulfurospirillum,Sutterella,Tannerella,Tepidanaerobacter,Tetragenococcus,Thalassiosira,Thermaerobacter,Thermoanaerobacter,Thermoanaerobacterium,Thermovenabulum,Treponema,Tumebacillus,Tyzzerella,Variovorax,Veillonella,Vibrio,Virgibacillus
Sanguibacteroides,1.0,1.0,1.0,1.0,1.0,0.739195462705031,1.0,1.0,0.9212020056711046,1.0,1.0,1.0,0.9968257323634117,0.9610411780855735,1.0,1.0,1.0,1.0,1.0,0.9212020056711046,1.0,1.0,1.0,0.9979504190502382,1.0,1.0,1.0,1.0,1.0,1.0,0.9594832181812065,1.0,0.9886948671716612,0.9943898552195981,1.0,0.991830853050734,1.0,0.972384842630672,1.0,1.0,0.9427172189551011,1.0,1.0,1.0,0.9971706803266273,1.0,0.9661972893539492,1.0,1.0,1.0,1.0,1.0,1.0,0.9838919122745517,0.720582408715734,1.0,1.0,0.9687572005417143,0.9991449865824702,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9212020056711046,1.0,0.996994446768176,1.0,1.0,1.0,1.0,1.0,0.9212020056711046,1.0,0.98110712546242,0.9774021320629392,1.0,0.9990312026932259,1.0,1.0,0.8500970945378252,1.0,0.9971706803266273,1.0,1.0,1.0,1.0,1.0,1.0,0.9212020056711046,0.9815390958063575,0.9845518192917061,0.9691065824977859,0.9902452800993427,1.0,1.0,1.0,0.9962570619114626,0.9212020056711046,0.9212020056711046,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9212020056711046,1.0,0.9212020056711046,1.0,1.0,1.0,0.9779670379344629,1.0,1.0,1.0,1.0,1.0,0.9926799518465776,0.26347808369104775,1.0,0.9998479532197617,1.0,0.917908494699277,1.0,1.0,1.0,0.9212020056711046,1.0,1.0,0.9962918677878139,1.0,1.0,1.0,0.4425710982816303,0.9061076028151636,1.0,1.0,1.0,0.9971706803266273,1.0,1.0,1.0,0.9872462190469145,0.9980347571553035,1.0,1.0,1.0,0.9790972978128283,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selenomonas,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shuttleworthia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9976026712202803,1.0,0.49487394359958226,1.0,1.0,1.0,1.0,1.0,1.0,0.9970022443667919,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9960671353237597,1.0,0.9983280741672542,1.0,1.0,0.9714981495805798,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9913187250845367,0.9983528139964307,1.0,1.0,0.9942639267504593,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9700582168320003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998018680932552,0.9765385436339442,1.0,1.0,0.5491005636277859,1.0,0.4972647327546825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.995899919542767,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8901030788166459,1.0,1.0,0.49487394359958226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998030064813943,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9960614778289565,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9885066330923605,1.0,1.0,1.0,0.9986866124298244,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slackia,1.0,1.0,1.0,1.0,1.0,0.9666843562190827,1.0,0.9883449336181083,0.9840207272455358,1.0,1.0,1.0,0.995335629706754,0.9664139838708744,1.0,1.0,0.9944573718354747,1.0,1.0,0.9840207272455358,1.0,1.0,0.9609497451881309,0.9979504190502382,1.0,1.0,1.0,1.0,1.0,1.0,0.9743426227087967,1.0,0.9890887052081919,0.9938268526648582,1.0,0.9923919584636841,1.0,0.976271106684957,1.0,1.0,0.9840207272455358,1.0,1.0,1.0,1.0,1.0,0.9787056636540866,1.0,1.0,1.0,1.0,1.0,1.0,0.9765348671402159,0.9893652012302734,1.0,1.0,0.9734264643277081,0.9991449865824702,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9840207272455358,1.0,0.9732145173012635,1.0,1.0,0.9923353254204413,1.0,1.0,0.9840207272455358,1.0,0.9871088472897056,0.9400504728864029,1.0,0.9996641487613873,0.9944573718354747,1.0,0.9840207272455358,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9840207272455358,0.9619532415781487,0.8626367159992154,0.9822099084347568,0.9902452800993427,1.0,1.0,1.0,0.9893515416406956,0.9840207272455358,0.9840207272455358,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9840207272455358,1.0,0.9840207272455358,1.0,1.0,1.0,0.9830741431356856,1.0,1.0,1.0,1.0,1.0,0.9852309217838897,1.0,1.0,0.9990414947443834,1.0,0.9840207272455358,1.0,1.0,1.0,0.9840207272455358,1.0,1.0,0.9884152878322106,1.0,1.0,1.0,0.9985459247440572,0.9818793958004249,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9924702617515911,1.0,1.0,0.9944573718354747,0.9947626220637965,1.0,0.9840207272455358,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smithella,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999403884430684,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999201732568063,1.0,1.0,1.0,1.0,1.0,0.9982360060665431,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Solobacterium,1.0,1.0,1.0,1.0,1.0,0.8391580921714921,1.0,1.0,1.0,1.0,1.0,1.0,0.9985206440597159,0.9945545030266326,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9882943002173015,1.0,0.9955439019940994,1.0,1.0,0.9994882739050139,1.0,0.9949703156191535,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999398923438081,1.0,1.0,1.0,1.0,1.0,1.0,0.991512986341195,0.7303303608922952,1.0,1.0,0.9966326839133228,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999928751003677,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9944693124670101,0.9825973614657696,1.0,0.9995010814416238,1.0,1.0,0.9391958077194397,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9867456021773481,1.0,1.0,1.0,1.0,0.9974329245085177,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9962287914259951,1.0,1.0,1.0,1.0,1.0,0.9996424715184982,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997558316041986,1.0,1.0,1.0,0.4460850139198035,0.9899300411801435,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9872462190469145,1.0,1.0,1.0,1.0,0.983845359683611,1.0,0.26347808369104775,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus,1.0,1.0,1.0,1.0,1.0,0.9266938433273619,1.0,1.0,0.8908154800863816,1.0,1.0,1.0,0.9983100961777831,0.9696165576082676,1.0,1.0,1.0,1.0,1.0,0.6796062968334542,1.0,1.0,1.0,0.9979504190502382,1.0,1.0,1.0,1.0,1.0,1.0,0.9748347603581323,1.0,0.9932118048705336,0.9972348656815057,1.0,0.9933471594697274,1.0,0.9776425343549628,1.0,1.0,0.9427172189551011,1.0,1.0,1.0,1.0,1.0,0.9668389043982432,1.0,1.0,1.0,1.0,1.0,1.0,0.9953627926501547,0.9968103795028848,1.0,1.0,0.9752849941044599,0.9991449865824702,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8634718831720485,1.0,0.9998960233683001,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9896735054980756,0.9978230863294631,1.0,0.9997341355418138,1.0,1.0,0.8930993000874891,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05209804089317949,0.9815390958063575,0.9845518192917061,0.9828233461152263,0.9902452800993427,1.0,1.0,1.0,0.99988755667431,0.21541921268897712,0.8950418340231686,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.6706515885837372,1.0,1.0,1.0,0.9847926004590454,1.0,1.0,1.0,1.0,1.0,0.9958951021794047,1.0,1.0,1.0,1.0,0.47689610220869416,1.0,1.0,1.0,0.0,1.0,1.0,0.9965377300721728,1.0,1.0,1.0,0.9985459247440572,0.7807026033944796,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9980347571553035,1.0,1.0,1.0,0.9955411394104426,1.0,0.9212020056711046,1.0,1.0,0.9840207272455358,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Stenotrophomonas,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998249031407461,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999909559091386,0.9995418782104796,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995343296770461,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9983313207171064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
Stomatobaculum,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9730452017768285,1.0,1.0,1.0,1.0,1.0,0.9889860908206882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9787948966890105,0.992455768814577,0.9939885506541992,0.9991077330329733,0.9944934779783333,1.0,0.9860915436547507,1.0,0.9929236370088784,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9930952354009932,1.0,1.0,1.0,1.0,1.0,1.0,0.9917107356225783,1.0,1.0,1.0,0.9905585064027517,1.0,1.0,1.0,1.0,1.0,1.0,0.9729401431122199,1.0,1.0,1.0,0.9622918682010686,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9910796145369928,0.9827499817872157,0.31036712457722593,0.9999300504200338,1.0,1.0,1.0,0.31036712457722593,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9944680568814177,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.961734990958288,1.0,1.0,1.0,1.0,1.0,0.9969005595093811,1.0,1.0,0.9963128698338065,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9985360847556457,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9648356734745123,1.0,1.0,1.0,0.9916758715066932,1.0,1.0,1.0,1.0,0.9883449336181083,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Streptococcus,1.0,1.0,1.0,1.0,1.0,0.9450539338347842,1.0,1.0,0.9832552218776913,1.0,1.0,1.0,0.9972228091802604,0.9557202153169398,1.0,1.0,1.0,1.0,0.988034021749856,0.9832552218776913,1.0,1.0,0.9996649125924574,0.9966158427456339,1.0,1.0,1.0,1.0,1.0,1.0,0.9456743504951992,1.0,0.9729190633830305,0.9875121623115993,1.0,0.9749290623698016,1.0,0.9500299455924585,1.0,1.0,0.9832552218776913,1.0,0.9957720487720004,1.0,1.0,1.0,0.9671757180706648,1.0,1.0,0.988034021749856,1.0,1.0,0.6217033463874031,0.9598328324337286,0.9698396777232141,0.9996649125924574,1.0,0.9577607691422445,0.9988118174710955,1.0,1.0,1.0,1.0,1.0,0.9883942456858191,1.0,0.9832552218776913,1.0,0.9726937654072445,1.0,1.0,1.0,1.0,0.9897926694829368,0.9832552218776913,0.9977879164833398,0.9870031991654985,0.9779251820170137,1.0,0.9965913443907689,0.9972623840947225,1.0,0.9824819207476693,1.0,1.0,0.6217033463874031,1.0,1.0,1.0,0.9996673999814747,0.6217033463874031,0.9832552218776913,0.9805455819654496,0.9845518192917061,0.9755517982058272,0.9902452800993427,1.0,1.0,1.0,0.976063984151014,0.9820790436511669,0.91441534744448,1.0,1.0,1.0,0.9994221598124505,1.0,1.0,1.0,1.0,1.0,1.0,0.9832552218776913,1.0,0.9832552218776913,1.0,1.0,1.0,0.957534105854563,1.0,1.0,0.9926736597795807,0.9994221598124505,1.0,0.9754632119424412,0.9992519695038858,1.0,0.9926444544522479,1.0,0.9793116976603461,1.0,1.0,1.0,0.9832552218776913,1.0,0.9971513519150941,0.9575367444164542,0.9922256712899149,1.0,1.0,0.9956762915615662,0.9712400898023494,1.0,1.0,0.999373262709111,1.0,1.0,1.0,0.988034021749856,0.9992519695038858,0.980679723062511,1.0,1.0,0.9985808705809661,0.9727323743356222,0.9962081674055691,0.9824819207476693,1.0,1.0,0.9830264846470769,1.0,0.9992519695038858,0.9832552218776913,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
Streptomyces,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5801899301716551,1.0,0.9964382835841098,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9964357977031827,1.0,0.9985885481147142,1.0,1.0,0.9994265972940192,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997952312522039,0.9997321181025925,1.0,1.0,0.9969197853695431,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9980269333496028,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9925967040616265,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997149199367534,1.0,0.9739586109458761,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9928718809384078,1.0,1.0,0.9998919244225296,1.0,0.9998016274163237,1.0,1.0,1.0,1.0,1.0,1.0,0.8822128296156049,1.0,1.0,1.0,1.0,0.996193779247505,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9989079031805302,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Subdoligranulum,1.0,1.0,1.0,1.0,1.0,0.9317879533788057,1.0,0.9975221829718317,0.9940108480051643,1.0,0.9898297626739844,1.0,0.9893029470413922,0.9346562368473441,1.0,1.0,0.9906253437631504,0.9997363114286226,0.9792148743393506,0.9949546870506839,1.0,1.0,0.8567119791138177,0.9619084371020712,1.0,1.0,1.0,1.0,1.0,0.9794683026937425,0.9246294109901212,0.9916109660689463,0.9771044904343302,0.9722660164915968,0.9924404650318769,0.9340619046893028,1.0,0.8757751722880069,0.9696430551015541,1.0,0.9874614025642987,1.0,1.0,1.0,1.0,1.0,0.9295686357547005,0.9898297626739844,1.0,0.9792148743393506,1.0,1.0,0.9817042602528285,0.9054763616533212,0.954404962983893,0.9978405609265866,1.0,0.9112376784913157,0.9969344406732733,1.0,1.0,0.9572472401613824,1.0,1.0,0.9887104957088896,1.0,0.9949546870506839,1.0,0.9359290413652632,1.0,1.0,0.9991563265443927,1.0,1.0,0.9949546870506839,0.9878185360862136,0.953559947094679,0.8610850700615716,0.9804019561485238,0.9896124857819995,0.9691885424139716,0.9578152087610737,0.9949546870506839,0.9804019561485238,1.0,0.9817042602528285,1.0,1.0,1.0,0.9924404650318769,0.9817042602528285,0.9949546870506839,0.9572548310455665,0.9940138121574006,0.9893857687679491,0.9517601197134344,0.9991019095518171,1.0,1.0,0.9210448255539665,0.992359694572475,0.9855715177311077,1.0,0.9621393841706846,1.0,1.0,0.9982325089484073,1.0,0.9984798347156517,1.0,1.0,1.0,0.9949546870506839,1.0,0.9949546870506839,1.0,1.0,0.9898297626739844,0.9496429117141201,1.0,1.0,1.0,1.0,1.0,0.8821949309707047,1.0,0.9886167570050512,0.9828577838246404,1.0,0.98656533220603,1.0,1.0,1.0,0.9949546870506839,1.0,0.9938459494874514,0.9658945099433711,0.9899753217327754,0.9990450430250603,1.0,0.9890685861615155,0.93367811345398,1.0,1.0,1.0,1.0,1.0,1.0,0.9782412269404623,0.9791340685037493,0.9198711721465964,0.9572472401613824,1.0,0.9179440869601533,0.944335134929422,0.9896932683367126,0.9949546870506839,1.0,0.9918358892618133,0.9462893988232751,1.0,1.0,0.9949546870506839,1.0,0.977825941606399,0.9482480028245225,1.0,,,,,,,,,,,,,,,,,,,
Succinatimonas,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997764713937994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6531140643647471,1.0,1.0,1.0,1.0,1.0,1.0,0.9988956311741475,1.0,0.9982673796000248,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996418658237709,0.9998071800499142,1.0,1.0,0.9997572359658576,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999161242150373,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999130924655485,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9954894695360329,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9979588038252397,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999271359497367,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999670438477588,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
Sulfurospirillum,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9981164450714195,0.9983787050595274,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997050298424436,0.999670830761259,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9991085148183416,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994120119718521,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9983597555991287,1.0,1.0,1.0,1.0,1.0,1.0,0.9783351818097269,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8637952721752331,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998496990872947,1.0,,,,,,,,,,,,,,,,,
