,Acetivibrio,Acetoanaerobium,Acidaminococcus,Acidimicrobium,Acidobacterium,Aciduliprofundum,Actinomyces,Acyrthosiphon,Adlercreutzia,Aerococcus,Afipia,Akkermansia,Alistipes,Alkaliphilus,Alloprevotella,Amycolatopsis,Anaerobium,Anaerococcus,Anaerofustis,Anaeroglobus,Anaerosporomusa,Anaerostipes,Anaerotruncus,Anaerovibrio,Arcobacter,Ascaris,Asticcacaulis,Atopobium,Azospirillum,Bacillus,Bacteroides,Barnesiella,Bifidobacterium,Bilophila,Blastopirellula,Blautia,Brachyspira,Brenneria,Burkholderia,Butyricicoccus,Butyrivibrio,Camponotus,Campylobacter,Candidatus Adiutrix,Candidatus Izimaplasma,Candidatus Solibacter,Capnocytophaga,Catabacter,Catenibacterium,Catonella,Cecembia,Cellulosilyticum,Chryseobacterium,Cloacibacillus,Clostridium,Collinsella,Coprobacillus,Coprobacter,Coprococcus,Corallococcus,Corynebacterium,Cryptobacterium,Dehalobacter,Desulfitobacterium,Desulfosporosinus,Desulfovibrio,Devosia,Dialister,Dietzia,Dorea,Dyadobacter,Dysgonomonas,Eggerthella,Enterobacter,Enterococcus,Enterorhabdus,Erysipelatoclostridium,Ethanoligenens,Eubacterium,Faecalibacterium,Flavobacterium,Flavonifractor,Fusicatenibacter,Fusobacterium,Gemella,Gemmatimonas,Geobacter,Gordonibacter,Granulicatella,Granulicella,Halomonas,Halopiger,Helicobacter,Herbinix,Holdemanella,Holdemania,Hungatella,Hymenobacter,Hyphomicrobium,Intestinibacter,Johnsonella,Kandleria,Klebsiella,Kocuria,Lachnoanaerobaculum,Lachnoclostridium,Lachnospira,Lactobacillus,Lactococcus,Leptolyngbya,Macellibacteroides,Magnetospira,Mannheimia,Marvinbryantia,Megamonas,Megasphaera,Mesorhizobium,Methanobrevibacter,Methanomassiliicoccus,Mitsuokella,Mogibacterium,Moorella,Mycobacterium,Mycoplasma,Naegleria,Niabella,Nitrosopumilus,Nitrospira,Odoribacter,Olsenella,Oreochromis,Oribacterium,Ornithobacterium,Oryza,Oscillibacter,Ostreococcus,Oxalobacter,Paenibacillus,Paludibacter,Parabacteroides,Paraprevotella,Parasutterella,Parvimonas,Pedobacter,Peptoanaerobacter,Peptoclostridium,Peptoniphilus,Peptostreptococcus,Phascolarctobacterium,Pirellula,Planktothrix,Pleurocapsa,Polaromonas,Porphyromonas,Prevotella,Proteiniphilum,Proteus,Providencia,Pseudarthrobacter,Pseudobacteroides,Pseudoflavonifractor,Pseudoramibacter,Pseudoxanthomonas,Pyramidobacter,Rhizobium,Rhodobacter,Robinsoniella,Roseburia,Roseiflexus,Roseivirga,Roseovarius,Ruminiclostridium,Ruminococcus,Ruthenibacterium,Sanguibacteroides,Schistocephalus,Sediminicola,Shuttleworthia,Simiduia,Sinorhizobium,Slackia,Smithella,Solobacterium,Sporolactobacillus,Staphylococcus,Stegodyphus,Stenotrophomonas,Stigmatella,Stomatobaculum,Streptococcus,Streptomyces,Subdoligranulum,Succinatimonas,Sulfurospirillum,Sutterella,Tannerella,Terrisporobacter,Tetragenococcus,Thalassiosira,Thermaerobacter,Thermoanaerobacter,Thermosulfidibacter,Thermovenabulum,Treponema,Turicibacter,Tyzzerella,Varibaculum,Variovorax,Veillonella,Vibrio,Waddlia,Weeksella
Granulicella,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999125025449835,1.0,1.0,0.9998536703916033,1.0,0.9999779245799931,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999667001611382,0.9999429133643695,1.0,1.0,0.9997981050747318,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9095924805601702,1.0,0.999880242336053,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998540550563214,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halomonas,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.986207846265846,1.0,0.6215980994048879,0.9970594025072891,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9933757275299722,0.9999847536467072,1.0,1.0,0.9985084760074983,0.708881397757067,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9988378055747876,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.993743842668424,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halopiger,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999675326691052,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.994927261194539,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996899852825809,1.0,0.9918060466149897,1.0,1.0,0.9744780570597233,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9860218602726313,0.9928990137531551,1.0,1.0,0.9985473598855207,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.980710357989349,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994436415437129,0.9945938623909996,1.0,1.0,0.8542501483124334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helicobacter,1.0,1.0,1.0,1.0,1.0,1.0,0.9877484752669395,1.0,0.9918969683251746,1.0,1.0,1.0,0.9973442844555422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996193740272094,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999062629443803,1.0,0.9977625553494128,1.0,1.0,1.0,1.0,1.0,1.0,0.9959320911658889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6633175415726049,0.9954331391282919,0.9816559480701511,1.0,1.0,0.9994934534879384,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998912457568594,0.9964901118293452,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.624172875666777,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herbinix,1.0,1.0,1.0,1.0,1.0,1.0,0.962677475146364,1.0,0.9205638057382454,0.6952902636807905,1.0,0.9774389977973851,0.9733387396541071,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9786723148122374,1.0,0.973642212152906,0.981470808880871,1.0,0.9876675044500404,1.0,1.0,1.0,0.9628584304659802,0.9982605569232101,1.0,0.6787972531955397,1.0,1.0,1.0,1.0,1.0,0.9716286478288242,1.0,1.0,1.0,1.0,1.0,0.9784899099283935,0.9359430531191877,1.0,1.0,0.9905087754564441,0.9213911733008352,1.0,1.0,1.0,1.0,1.0,0.9972743901770813,1.0,1.0,1.0,0.9942540975013927,1.0,1.0,1.0,1.0,0.10815694410127163,0.10815694410127163,1.0,1.0,0.9869484565844849,0.9782548617940671,1.0,0.9954950625751615,0.9981344074184677,1.0,1.0,1.0,1.0,0.9655080949979202,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holdemanella,1.0,1.0,1.0,1.0,1.0,1.0,0.9953201959399464,1.0,0.9953201959399464,0.9953201959399464,1.0,0.9814772851803703,0.9825631062573541,1.0,0.9816610897848649,1.0,1.0,1.0,1.0,1.0,1.0,0.9890185303930522,0.9990384771977433,0.8920737428036135,1.0,1.0,1.0,1.0,1.0,1.0,0.9863845924244132,1.0,0.9803759669786684,0.9870298127540567,1.0,0.9921477704445213,0.9939204522740874,1.0,1.0,0.9888800190790588,0.9982605569232101,1.0,0.9953201959399464,1.0,1.0,1.0,1.0,1.0,0.8787808889456359,1.0,1.0,1.0,1.0,1.0,0.9843116939744,0.985969400017738,1.0,1.0,0.989968418713612,0.9909043357071501,1.0,1.0,1.0,1.0,1.0,0.9812405582938287,1.0,0.9730580394227348,1.0,0.9913884988956451,1.0,1.0,1.0,1.0,0.9953201959399464,0.9953201959399464,1.0,1.0,0.9951237853982202,0.9681287259027495,1.0,0.9820248707035114,1.0,1.0,1.0,1.0,1.0,0.9953201959399464,1.0,1.0,1.0,1.0,1.0,0.9953201959399464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holdemania,1.0,1.0,1.0,1.0,1.0,1.0,0.9898616806976052,1.0,0.9728721440869087,0.9898616806976052,0.9967326189395277,0.9865276018488592,0.9843938922914899,1.0,1.0,0.9967326189395277,1.0,1.0,1.0,1.0,1.0,0.9804320860913498,0.9942702451072088,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9807660386939487,1.0,0.9898616806976052,0.9849631239341349,1.0,0.9926881297122999,1.0,1.0,1.0,0.9734103922912444,0.9982605569232101,1.0,0.9898616806976052,1.0,1.0,1.0,1.0,1.0,0.9733352739891024,1.0,1.0,1.0,1.0,1.0,0.9695748953952772,0.9753205483654981,1.0,1.0,0.9716806731178055,0.9898616806976052,1.0,1.0,0.9838063243263292,1.0,1.0,0.9838063243263292,1.0,1.0,1.0,0.9808290224015941,1.0,1.0,0.9568353616139983,1.0,0.9898616806976052,0.9898616806976052,1.0,1.0,0.9886055244890498,0.9679722389571346,1.0,0.9888941387844098,0.9726193324560453,1.0,1.0,1.0,1.0,0.9898616806976052,1.0,1.0,1.0,1.0,1.0,0.9898616806976052,0.9953201959399464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungatella,1.0,1.0,1.0,1.0,1.0,1.0,0.9835242688799728,1.0,0.992890110988598,0.997362842536414,1.0,0.9752329042436237,0.9868405715808876,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9976163981207157,0.9976163981207157,1.0,1.0,1.0,1.0,1.0,1.0,0.9843217926160683,0.9780467049443403,0.9993631834202352,0.9865082783101236,0.9694467693437059,1.0,0.9687569603566252,1.0,1.0,1.0,0.9931994460846203,0.9982605569232101,1.0,0.997362842536414,1.0,1.0,1.0,1.0,1.0,0.9949050428185846,1.0,1.0,0.9822483116766686,1.0,1.0,0.977755551490573,0.9810295357667655,1.0,1.0,0.9795152683778102,0.997362842536414,1.0,0.9986266680475074,1.0,1.0,1.0,0.994154517830527,1.0,1.0,0.9986266680475074,0.9910189172454283,1.0,1.0,1.0,1.0,0.997362842536414,0.997362842536414,1.0,1.0,0.9858181405622942,0.9742009855742781,1.0,0.9956488148933872,0.9927342013396098,1.0,1.0,1.0,1.0,0.997362842536414,1.0,1.0,1.0,1.0,1.0,0.9828790412060509,0.997362842536414,0.997362842536414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hymenobacter,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997632606157163,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996318568727202,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999824432906821,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999873517024067,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyphomicrobium,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998250417165571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997548141032278,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999905026100525,1.0,1.0,1.0,0.9999375322502444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994879187634279,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intestinibacter,1.0,1.0,1.0,1.0,1.0,1.0,0.9749227018142784,1.0,0.9205638057382454,0.6952902636807905,1.0,0.9829042672214049,0.9749071410941895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9811537986715853,1.0,0.9813508272494352,0.9822328965616215,1.0,0.9954225970484772,1.0,1.0,1.0,0.9632616635551174,0.9982605569232101,1.0,0.6787972531955399,1.0,1.0,1.0,1.0,1.0,0.9847012596475583,1.0,1.0,1.0,1.0,1.0,0.9838325320224178,0.9522797947741641,1.0,1.0,0.990239581772249,0.9213911733008352,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998713206718415,1.0,1.0,1.0,1.0,0.5343995171997586,0.5343995171997586,1.0,1.0,0.9938781567279789,0.9810144872249954,1.0,0.9954950625751615,0.9998989184369086,1.0,1.0,1.0,1.0,0.9655080949979202,0.8492319525590994,1.0,1.0,1.0,1.0,0.5343995171997586,0.9953201959399464,0.9898616806976052,0.997362842536414,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnsonella,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8249940483692532,0.9995635957898245,1.0,1.0,1.0,1.0,0.9999706986935035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999957202138654,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999475427554492,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9987956147032468,1.0,0.9967952616561351,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kandleria,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997928258016802,0.998175391404815,1.0,1.0,1.0,0.9998321534132723,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999132903811783,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klebsiella,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999854927364719,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999794278358272,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9991564922586437,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kocuria,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999849647181307,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6785179768990848,1.0,0.999959871147244,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9992826339145975,0.999447892994809,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lachnoanaerobaculum,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999746329778177,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998477809491717,1.0,1.0,0.9999228611938741,1.0,0.9998116531567054,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9817192577902355,1.0,1.0,1.0,0.9985228488397295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995262692777446,0.9957818757718209,1.0,0.9998468854666543,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lachnoclostridium,1.0,1.0,0.9957396276428654,0.9997538325930372,1.0,0.9981304088030384,0.9854480639710645,0.9971089416587097,0.9734414248809521,0.9663773709760894,0.9414199906543305,0.9371134066177454,0.9352897752858992,1.0,1.0,0.9414199906543305,0.9976393120517028,0.9951516477678882,0.9927132251631001,1.0,1.0,0.8795192016575327,0.9825389686297789,0.9955275597151625,1.0,1.0,1.0,0.9876007246235441,1.0,1.0,0.9102821594212591,0.9918126760641469,0.9258250911389319,0.9298950083875446,0.9992006868727071,0.8805563288513889,1.0,1.0,1.0,0.9440115207201443,0.9968445050957775,0.9928527714222479,0.9962300713268702,0.9951516477678882,1.0,1.0,1.0,0.9996448040532439,0.9368448459008366,0.999899271957688,1.0,0.9950579943655641,1.0,0.9995062540602841,0.7995930159851545,0.8856618083071761,0.991547183440168,1.0,0.8388627278258762,0.9916868780697949,0.998972606153623,0.9964150113173592,0.9635811610493379,1.0,1.0,0.9525002931858016,1.0,0.9702052040105196,0.9964150113173592,0.9100942637520888,1.0,0.9999167815063569,0.9921296821334089,1.0,0.996572158331021,0.996572158331021,0.9991705727143587,0.9999196718857448,0.9598988321152616,0.8035677090296778,0.9964837944547126,0.9612313955737297,0.8752100651009886,0.9996373204163893,0.9927132251631001,0.9964837944547126,1.0,0.9960750207825328,0.9994939046933831,1.0,0.9987269280105975,0.9974695923166318,0.9995062540602841,0.9918512148812141,0.9603124852474252,0.976868541442007,0.9751886631077002,1.0,0.9999351144264473,0.9960625865645609,1.0,1.0,1.0,1.0,0.973648916913019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lachnospira,1.0,1.0,1.0,1.0,1.0,1.0,0.9749227018142784,1.0,0.9205638057382454,0.6952902636807905,1.0,0.9829042672214049,0.9749693892059033,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9812216125759308,1.0,0.9821049122050416,0.9822328965616215,1.0,0.996279521506157,1.0,1.0,1.0,0.9632616635551174,0.9982605569232101,1.0,0.6787972531955399,1.0,1.0,1.0,1.0,1.0,0.9847012596475583,1.0,1.0,1.0,1.0,1.0,0.9837591354959074,0.9529952840497383,1.0,1.0,0.9923375528954648,0.9213911733008352,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998713206718415,1.0,1.0,1.0,1.0,0.10366360427075849,0.10366360427075849,1.0,1.0,0.9937329040750712,0.9787294510210331,1.0,0.9954950625751615,0.9818674715247296,1.0,1.0,1.0,1.0,0.9655080949979202,1.0,1.0,1.0,1.0,1.0,0.10815694410127163,0.9953201959399464,0.9898616806976052,0.997362842536414,1.0,1.0,0.5343995171997586,1.0,1.0,1.0,1.0,1.0,0.996572158331021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactobacillus,1.0,1.0,1.0,1.0,1.0,1.0,0.9731357528257853,1.0,0.9205638057382454,0.6952902636807905,1.0,0.9643225173569464,0.960869362707978,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9694967477164534,1.0,0.9556173860568575,0.9744826819108967,0.999818349640651,0.9906115273398014,0.9904789381715138,1.0,1.0,0.9446017045255437,0.9905101706844783,1.0,0.6787972531955399,1.0,1.0,1.0,1.0,1.0,0.9705015940084007,1.0,1.0,1.0,1.0,1.0,0.9800162424582702,0.9423069778599427,1.0,1.0,0.9848489459477029,0.9213911733008352,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9953540865462293,1.0,1.0,1.0,1.0,0.32005538800000943,0.32005538800000943,1.0,1.0,0.9881952297640357,0.9706108394073099,1.0,0.9868127976489169,0.9936060914139986,1.0,1.0,1.0,1.0,0.9655080949979202,1.0,1.0,0.999818349640651,1.0,1.0,0.32005538800000943,0.9891834382867779,0.9898616806976052,0.9949050428185846,1.0,1.0,0.5343995171997586,1.0,1.0,1.0,1.0,1.0,0.9963892603860356,0.32005538800000943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactococcus,1.0,1.0,1.0,1.0,1.0,1.0,0.9749227018142784,1.0,0.9205638057382454,0.6952902636807905,1.0,0.9829042672214049,0.9749693892059033,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9812216125759308,1.0,0.9821049122050416,0.9822328965616215,1.0,0.996279521506157,1.0,1.0,1.0,0.9632616635551174,0.9982605569232101,1.0,0.6787972531955399,1.0,1.0,1.0,1.0,1.0,0.9847012596475583,1.0,1.0,1.0,1.0,1.0,0.9839897323785454,0.9529952840497383,1.0,1.0,0.9923375528954648,0.9213911733008352,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998713206718415,1.0,1.0,1.0,1.0,0.41955826836570875,0.41955826836570875,1.0,1.0,0.9938781567279789,0.9814200931658443,1.0,0.9954950625751615,1.0,1.0,1.0,1.0,1.0,0.9655080949979202,1.0,1.0,1.0,1.0,1.0,0.41955826836570864,0.9953201959399464,0.9898616806976052,0.997362842536414,1.0,1.0,0.5343995171997585,1.0,1.0,1.0,1.0,1.0,0.996572158331021,0.41955826836570875,0.41955826836570875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
