,k,pk
0,1.0,0.5306122448979592
1,1.0,0.5306122448979592
2,1.0,0.5306122448979592
3,1.0,0.5306122448979592
4,1.0,0.5306122448979592
5,1.0,0.5306122448979592
6,1.0,0.5306122448979592
7,1.0,0.5306122448979592
8,1.0,0.5306122448979592
9,1.0,0.5306122448979592
10,1.0,0.5306122448979592
11,1.0,0.5306122448979592
12,1.0,0.5306122448979592
13,1.0,0.5306122448979592
14,1.0,0.5306122448979592
15,1.0,0.5306122448979592
16,1.0,0.5306122448979592
17,1.0,0.5306122448979592
18,1.0,0.5306122448979592
19,1.0,0.5306122448979592
20,1.0,0.5306122448979592
21,1.0,0.5306122448979592
22,1.0,0.5306122448979592
23,1.0,0.5306122448979592
24,1.0,0.5306122448979592
25,1.0,0.5306122448979592
26,1.0,0.5306122448979592
27,1.0,0.5306122448979592
28,1.0,0.5306122448979592
29,1.0,0.5306122448979592
30,1.0,0.5306122448979592
31,1.0,0.5306122448979592
32,1.0,0.5306122448979592
33,1.0,0.5306122448979592
34,1.0,0.5306122448979592
35,1.0,0.5306122448979592
36,1.0,0.5306122448979592
37,1.0,0.5306122448979592
38,1.0,0.5306122448979592
39,1.0,0.5306122448979592
40,1.0,0.5306122448979592
41,1.0,0.5306122448979592
42,1.0,0.5306122448979592
43,1.0,0.5306122448979592
44,1.0,0.5306122448979592
45,1.0,0.5306122448979592
46,1.0,0.5306122448979592
47,1.0,0.5306122448979592
48,1.0,0.5306122448979592
49,1.0,0.5306122448979592
50,1.0,0.5306122448979592
51,1.0,0.5306122448979592
52,1.0,0.5306122448979592
53,1.0,0.5306122448979592
54,1.0,0.5306122448979592
55,1.0,0.5306122448979592
56,1.0,0.5306122448979592
57,1.0,0.5306122448979592
58,1.0,0.5306122448979592
59,1.0,0.5306122448979592
60,1.0,0.5306122448979592
61,1.0,0.5306122448979592
62,1.0,0.5306122448979592
63,1.0,0.5306122448979592
64,1.0,0.5306122448979592
65,1.0,0.5306122448979592
66,1.0,0.5306122448979592
67,1.0,0.5306122448979592
68,1.0,0.5306122448979592
69,1.0,0.5306122448979592
70,1.0,0.5306122448979592
71,1.0,0.5306122448979592
72,1.0,0.5306122448979592
73,1.0,0.5306122448979592
74,1.0,0.5306122448979592
75,1.0,0.5306122448979592
76,1.0,0.5306122448979592
77,1.0,0.5306122448979592
78,1.0,0.5306122448979592
79,1.0,0.5306122448979592
