,k,pk
0,1.0,0.48063200815494395
1,1.0,0.48063200815494395
2,1.0,0.48063200815494395
3,1.0,0.48063200815494395
4,1.0,0.48063200815494395
5,1.0,0.48063200815494395
6,1.0,0.48063200815494395
7,1.0,0.48063200815494395
8,1.0,0.48063200815494395
9,1.0,0.48063200815494395
10,1.0,0.48063200815494395
11,1.0,0.48063200815494395
12,1.0,0.48063200815494395
13,1.0,0.48063200815494395
14,1.0,0.48063200815494395
15,1.0,0.48063200815494395
16,1.0,0.48063200815494395
17,1.0,0.48063200815494395
18,1.0,0.48063200815494395
19,1.0,0.48063200815494395
20,1.0,0.48063200815494395
21,1.0,0.48063200815494395
22,1.0,0.48063200815494395
23,1.0,0.48063200815494395
24,1.0,0.48063200815494395
25,1.0,0.48063200815494395
26,1.0,0.48063200815494395
27,1.0,0.48063200815494395
28,1.0,0.48063200815494395
29,1.0,0.48063200815494395
30,1.0,0.48063200815494395
31,1.0,0.48063200815494395
32,1.0,0.48063200815494395
33,1.0,0.48063200815494395
34,1.0,0.48063200815494395
35,1.0,0.48063200815494395
36,1.0,0.48063200815494395
37,1.0,0.48063200815494395
38,1.0,0.48063200815494395
39,1.0,0.48063200815494395
40,1.0,0.48063200815494395
41,1.0,0.48063200815494395
42,1.0,0.48063200815494395
43,1.0,0.48063200815494395
44,1.0,0.48063200815494395
45,1.0,0.48063200815494395
46,1.0,0.48063200815494395
47,1.0,0.48063200815494395
48,1.0,0.48063200815494395
49,1.0,0.48063200815494395
50,1.0,0.48063200815494395
51,1.0,0.48063200815494395
52,1.0,0.48063200815494395
53,1.0,0.48063200815494395
54,1.0,0.48063200815494395
55,1.0,0.48063200815494395
56,1.0,0.48063200815494395
57,1.0,0.48063200815494395
58,1.0,0.48063200815494395
59,1.0,0.48063200815494395
60,1.0,0.48063200815494395
61,1.0,0.48063200815494395
62,1.0,0.48063200815494395
63,1.0,0.48063200815494395
64,1.0,0.48063200815494395
65,1.0,0.48063200815494395
66,1.0,0.48063200815494395
67,1.0,0.48063200815494395
68,1.0,0.48063200815494395
69,1.0,0.48063200815494395
70,1.0,0.48063200815494395
71,1.0,0.48063200815494395
72,1.0,0.48063200815494395
73,1.0,0.48063200815494395
74,1.0,0.48063200815494395
75,1.0,0.48063200815494395
76,1.0,0.48063200815494395
77,1.0,0.48063200815494395
78,1.0,0.48063200815494395
79,1.0,0.48063200815494395
80,1.0,0.48063200815494395
81,1.0,0.48063200815494395
82,1.0,0.48063200815494395
83,1.0,0.48063200815494395
84,1.0,0.48063200815494395
85,1.0,0.48063200815494395
86,1.0,0.48063200815494395
87,1.0,0.48063200815494395
88,1.0,0.48063200815494395
89,1.0,0.48063200815494395
90,1.0,0.48063200815494395
91,1.0,0.48063200815494395
92,1.0,0.48063200815494395
93,1.0,0.48063200815494395
94,1.0,0.48063200815494395
95,1.0,0.48063200815494395
96,1.0,0.48063200815494395
97,1.0,0.48063200815494395
98,1.0,0.48063200815494395
99,1.0,0.48063200815494395
100,1.0,0.48063200815494395
101,1.0,0.48063200815494395
102,1.0,0.48063200815494395
