,Sample,FR,nFR,TD,FD
0,HM503,0.03445541738848285,0.08663049330310896,0.39772851423029276,0.3632730968418099
1,HM466,0.10212832444431968,0.152819421873486,0.6682941421468552,0.5661658177025355
2,HM454,0.12424754019234395,0.16613224364342544,0.7478833576642722,0.6236358174719282
3,HM455,0.12456017177383634,0.1737439929445273,0.7169178609450153,0.5923576891711789
