,VS,dij_list
0,Acetoanaerobium_vs_Acetivibrio,1.0
1,Acidaminococcus_vs_Acetivibrio,1.0
2,Acidaminococcus_vs_Acetoanaerobium,1.0
3,Aciduliprofundum_vs_Acetivibrio,1.0
4,Aciduliprofundum_vs_Acetoanaerobium,1.0
5,Aciduliprofundum_vs_Acidaminococcus,1.0
6,Actinomyces_vs_Acetivibrio,1.0
7,Actinomyces_vs_Acetoanaerobium,1.0
8,Actinomyces_vs_Acidaminococcus,1.0
9,Actinomyces_vs_Aciduliprofundum,1.0
10,Acyrthosiphon_vs_Acetivibrio,1.0
11,Acyrthosiphon_vs_Acetoanaerobium,1.0
12,Acyrthosiphon_vs_Acidaminococcus,1.0
13,Acyrthosiphon_vs_Aciduliprofundum,1.0
14,Acyrthosiphon_vs_Actinomyces,1.0
15,Adlercreutzia_vs_Acetivibrio,1.0
16,Adlercreutzia_vs_Acetoanaerobium,1.0
17,Adlercreutzia_vs_Acidaminococcus,1.0
18,Adlercreutzia_vs_Aciduliprofundum,1.0
19,Adlercreutzia_vs_Actinomyces,0.9638563540803743
20,Adlercreutzia_vs_Acyrthosiphon,1.0
21,Aerococcus_vs_Acetivibrio,1.0
22,Aerococcus_vs_Acetoanaerobium,1.0
23,Aerococcus_vs_Acidaminococcus,1.0
24,Aerococcus_vs_Aciduliprofundum,1.0
25,Aerococcus_vs_Actinomyces,0.9398229468625063
26,Aerococcus_vs_Acyrthosiphon,1.0
27,Aerococcus_vs_Adlercreutzia,0.9687390488277455
28,Aeromonas_vs_Acetivibrio,1.0
29,Aeromonas_vs_Acetoanaerobium,1.0
30,Aeromonas_vs_Acidaminococcus,1.0
31,Aeromonas_vs_Aciduliprofundum,1.0
32,Aeromonas_vs_Actinomyces,1.0
33,Aeromonas_vs_Acyrthosiphon,1.0
34,Aeromonas_vs_Adlercreutzia,1.0
35,Aeromonas_vs_Aerococcus,1.0
36,Afipia_vs_Acetivibrio,1.0
37,Afipia_vs_Acetoanaerobium,1.0
38,Afipia_vs_Acidaminococcus,1.0
39,Afipia_vs_Aciduliprofundum,1.0
40,Afipia_vs_Actinomyces,1.0
41,Afipia_vs_Acyrthosiphon,1.0
42,Afipia_vs_Adlercreutzia,1.0
43,Afipia_vs_Aerococcus,1.0
44,Afipia_vs_Aeromonas,1.0
45,Agrobacterium_vs_Acetivibrio,1.0
46,Agrobacterium_vs_Acetoanaerobium,1.0
47,Agrobacterium_vs_Acidaminococcus,1.0
48,Agrobacterium_vs_Aciduliprofundum,1.0
49,Agrobacterium_vs_Actinomyces,1.0
50,Agrobacterium_vs_Acyrthosiphon,1.0
51,Agrobacterium_vs_Adlercreutzia,1.0
52,Agrobacterium_vs_Aerococcus,1.0
53,Agrobacterium_vs_Aeromonas,1.0
54,Agrobacterium_vs_Afipia,1.0
55,Akkermansia_vs_Acetivibrio,1.0
56,Akkermansia_vs_Acetoanaerobium,0.9997095250891489
57,Akkermansia_vs_Acidaminococcus,1.0
58,Akkermansia_vs_Aciduliprofundum,1.0
59,Akkermansia_vs_Actinomyces,0.8680387005044583
60,Akkermansia_vs_Acyrthosiphon,1.0
61,Akkermansia_vs_Adlercreutzia,0.9647875574257592
62,Akkermansia_vs_Aerococcus,0.9678613486776101
63,Akkermansia_vs_Aeromonas,1.0
64,Akkermansia_vs_Afipia,0.9939967713910393
65,Akkermansia_vs_Agrobacterium,1.0
66,Alicyclobacillus_vs_Acetivibrio,1.0
67,Alicyclobacillus_vs_Acetoanaerobium,1.0
68,Alicyclobacillus_vs_Acidaminococcus,1.0
69,Alicyclobacillus_vs_Aciduliprofundum,1.0
70,Alicyclobacillus_vs_Actinomyces,1.0
71,Alicyclobacillus_vs_Acyrthosiphon,1.0
72,Alicyclobacillus_vs_Adlercreutzia,1.0
73,Alicyclobacillus_vs_Aerococcus,1.0
74,Alicyclobacillus_vs_Aeromonas,1.0
75,Alicyclobacillus_vs_Afipia,1.0
76,Alicyclobacillus_vs_Agrobacterium,1.0
77,Alicyclobacillus_vs_Akkermansia,0.9997264155415729
78,Alistipes_vs_Acetivibrio,0.9998723026203745
79,Alistipes_vs_Acetoanaerobium,1.0
80,Alistipes_vs_Acidaminococcus,1.0
81,Alistipes_vs_Aciduliprofundum,0.99856063354226
82,Alistipes_vs_Actinomyces,0.9465709207011272
83,Alistipes_vs_Acyrthosiphon,1.0
84,Alistipes_vs_Adlercreutzia,0.9630716808635428
85,Alistipes_vs_Aerococcus,0.959625960342806
86,Alistipes_vs_Aeromonas,1.0
87,Alistipes_vs_Afipia,0.9929752236913371
88,Alistipes_vs_Agrobacterium,0.9988825798911712
89,Alistipes_vs_Akkermansia,0.8366342389568868
90,Alistipes_vs_Alicyclobacillus,0.999738364442945
91,Alloprevotella_vs_Acetivibrio,1.0
92,Alloprevotella_vs_Acetoanaerobium,1.0
93,Alloprevotella_vs_Acidaminococcus,1.0
94,Alloprevotella_vs_Aciduliprofundum,1.0
95,Alloprevotella_vs_Actinomyces,1.0
96,Alloprevotella_vs_Acyrthosiphon,1.0
97,Alloprevotella_vs_Adlercreutzia,1.0
98,Alloprevotella_vs_Aerococcus,1.0
99,Alloprevotella_vs_Aeromonas,1.0
100,Alloprevotella_vs_Afipia,1.0
101,Alloprevotella_vs_Agrobacterium,1.0
102,Alloprevotella_vs_Akkermansia,1.0
103,Alloprevotella_vs_Alicyclobacillus,1.0
104,Alloprevotella_vs_Alistipes,0.9992180790045345
105,Amycolatopsis_vs_Acetivibrio,1.0
106,Amycolatopsis_vs_Acetoanaerobium,1.0
107,Amycolatopsis_vs_Acidaminococcus,1.0
108,Amycolatopsis_vs_Aciduliprofundum,1.0
109,Amycolatopsis_vs_Actinomyces,1.0
110,Amycolatopsis_vs_Acyrthosiphon,1.0
111,Amycolatopsis_vs_Adlercreutzia,1.0
112,Amycolatopsis_vs_Aerococcus,1.0
113,Amycolatopsis_vs_Aeromonas,1.0
114,Amycolatopsis_vs_Afipia,0.0
115,Amycolatopsis_vs_Agrobacterium,1.0
116,Amycolatopsis_vs_Akkermansia,0.9939967713910393
117,Amycolatopsis_vs_Alicyclobacillus,1.0
118,Amycolatopsis_vs_Alistipes,0.9929752236913371
119,Amycolatopsis_vs_Alloprevotella,1.0
120,Anaerobium_vs_Acetivibrio,1.0
121,Anaerobium_vs_Acetoanaerobium,1.0
122,Anaerobium_vs_Acidaminococcus,1.0
123,Anaerobium_vs_Aciduliprofundum,1.0
124,Anaerobium_vs_Actinomyces,1.0
125,Anaerobium_vs_Acyrthosiphon,1.0
126,Anaerobium_vs_Adlercreutzia,1.0
127,Anaerobium_vs_Aerococcus,1.0
128,Anaerobium_vs_Aeromonas,1.0
129,Anaerobium_vs_Afipia,1.0
130,Anaerobium_vs_Agrobacterium,1.0
131,Anaerobium_vs_Akkermansia,1.0
132,Anaerobium_vs_Alicyclobacillus,1.0
133,Anaerobium_vs_Alistipes,0.9957741195387442
134,Anaerobium_vs_Alloprevotella,1.0
135,Anaerobium_vs_Amycolatopsis,1.0
136,Anaeroglobus_vs_Acetivibrio,1.0
137,Anaeroglobus_vs_Acetoanaerobium,1.0
138,Anaeroglobus_vs_Acidaminococcus,1.0
139,Anaeroglobus_vs_Aciduliprofundum,1.0
140,Anaeroglobus_vs_Actinomyces,1.0
141,Anaeroglobus_vs_Acyrthosiphon,1.0
142,Anaeroglobus_vs_Adlercreutzia,1.0
143,Anaeroglobus_vs_Aerococcus,1.0
144,Anaeroglobus_vs_Aeromonas,1.0
145,Anaeroglobus_vs_Afipia,1.0
146,Anaeroglobus_vs_Agrobacterium,1.0
147,Anaeroglobus_vs_Akkermansia,1.0
148,Anaeroglobus_vs_Alicyclobacillus,1.0
149,Anaeroglobus_vs_Alistipes,0.9999779167272267
