,VS,dij_list
0,Acetoanaerobium_vs_Acetivibrio,1.0
1,Acidaminococcus_vs_Acetivibrio,1.0
2,Acidaminococcus_vs_Acetoanaerobium,1.0
3,Acidobacterium_vs_Acetivibrio,1.0
4,Acidobacterium_vs_Acetoanaerobium,1.0
5,Acidobacterium_vs_Acidaminococcus,1.0
6,Aciduliprofundum_vs_Acetivibrio,1.0
7,Aciduliprofundum_vs_Acetoanaerobium,1.0
8,Aciduliprofundum_vs_Acidaminococcus,1.0
9,Aciduliprofundum_vs_Acidobacterium,1.0
10,Actinomyces_vs_Acetivibrio,1.0
11,Actinomyces_vs_Acetoanaerobium,1.0
12,Actinomyces_vs_Acidaminococcus,1.0
13,Actinomyces_vs_Acidobacterium,1.0
14,Actinomyces_vs_Aciduliprofundum,1.0
15,Acyrthosiphon_vs_Acetivibrio,1.0
16,Acyrthosiphon_vs_Acetoanaerobium,1.0
17,Acyrthosiphon_vs_Acidaminococcus,1.0
18,Acyrthosiphon_vs_Acidobacterium,1.0
19,Acyrthosiphon_vs_Aciduliprofundum,1.0
20,Acyrthosiphon_vs_Actinomyces,1.0
21,Adlercreutzia_vs_Acetivibrio,1.0
22,Adlercreutzia_vs_Acetoanaerobium,1.0
23,Adlercreutzia_vs_Acidaminococcus,1.0
24,Adlercreutzia_vs_Acidobacterium,1.0
25,Adlercreutzia_vs_Aciduliprofundum,1.0
26,Adlercreutzia_vs_Actinomyces,1.0
27,Adlercreutzia_vs_Acyrthosiphon,1.0
28,Aerococcus_vs_Acetivibrio,1.0
29,Aerococcus_vs_Acetoanaerobium,1.0
30,Aerococcus_vs_Acidaminococcus,1.0
31,Aerococcus_vs_Acidobacterium,1.0
32,Aerococcus_vs_Aciduliprofundum,1.0
33,Aerococcus_vs_Actinomyces,0.9266938433273619
34,Aerococcus_vs_Acyrthosiphon,1.0
35,Aerococcus_vs_Adlercreutzia,1.0
36,Aeromonas_vs_Acetivibrio,1.0
37,Aeromonas_vs_Acetoanaerobium,1.0
38,Aeromonas_vs_Acidaminococcus,1.0
39,Aeromonas_vs_Acidobacterium,1.0
40,Aeromonas_vs_Aciduliprofundum,1.0
41,Aeromonas_vs_Actinomyces,1.0
42,Aeromonas_vs_Acyrthosiphon,1.0
43,Aeromonas_vs_Adlercreutzia,1.0
44,Aeromonas_vs_Aerococcus,1.0
45,Afipia_vs_Acetivibrio,1.0
46,Afipia_vs_Acetoanaerobium,1.0
47,Afipia_vs_Acidaminococcus,1.0
48,Afipia_vs_Acidobacterium,1.0
49,Afipia_vs_Aciduliprofundum,1.0
50,Afipia_vs_Actinomyces,1.0
51,Afipia_vs_Acyrthosiphon,1.0
52,Afipia_vs_Adlercreutzia,1.0
53,Afipia_vs_Aerococcus,1.0
54,Afipia_vs_Aeromonas,1.0
55,Agrobacterium_vs_Acetivibrio,1.0
56,Agrobacterium_vs_Acetoanaerobium,1.0
57,Agrobacterium_vs_Acidaminococcus,1.0
58,Agrobacterium_vs_Acidobacterium,1.0
59,Agrobacterium_vs_Aciduliprofundum,1.0
60,Agrobacterium_vs_Actinomyces,1.0
61,Agrobacterium_vs_Acyrthosiphon,1.0
62,Agrobacterium_vs_Adlercreutzia,1.0
63,Agrobacterium_vs_Aerococcus,1.0
64,Agrobacterium_vs_Aeromonas,1.0
65,Agrobacterium_vs_Afipia,1.0
66,Akkermansia_vs_Acetivibrio,1.0
67,Akkermansia_vs_Acetoanaerobium,1.0
68,Akkermansia_vs_Acidaminococcus,1.0
69,Akkermansia_vs_Acidobacterium,1.0
70,Akkermansia_vs_Aciduliprofundum,1.0
71,Akkermansia_vs_Actinomyces,0.9675135659535257
72,Akkermansia_vs_Acyrthosiphon,1.0
73,Akkermansia_vs_Adlercreutzia,1.0
74,Akkermansia_vs_Aerococcus,0.9983100961777831
75,Akkermansia_vs_Aeromonas,1.0
76,Akkermansia_vs_Afipia,1.0
77,Akkermansia_vs_Agrobacterium,1.0
78,Alistipes_vs_Acetivibrio,1.0
79,Alistipes_vs_Acetoanaerobium,1.0
80,Alistipes_vs_Acidaminococcus,1.0
81,Alistipes_vs_Acidobacterium,0.9301844970988561
82,Alistipes_vs_Aciduliprofundum,0.9990757738381733
83,Alistipes_vs_Actinomyces,0.942160213142782
84,Alistipes_vs_Acyrthosiphon,1.0
85,Alistipes_vs_Adlercreutzia,0.999765693008136
86,Alistipes_vs_Aerococcus,0.9694991352170258
87,Alistipes_vs_Aeromonas,1.0
88,Alistipes_vs_Afipia,0.9972396455871437
89,Alistipes_vs_Agrobacterium,1.0
90,Alistipes_vs_Akkermansia,0.9783328707058359
91,Allofrancisella_vs_Acetivibrio,1.0
92,Allofrancisella_vs_Acetoanaerobium,1.0
93,Allofrancisella_vs_Acidaminococcus,1.0
94,Allofrancisella_vs_Acidobacterium,1.0
95,Allofrancisella_vs_Aciduliprofundum,1.0
96,Allofrancisella_vs_Actinomyces,1.0
97,Allofrancisella_vs_Acyrthosiphon,1.0
98,Allofrancisella_vs_Adlercreutzia,1.0
99,Allofrancisella_vs_Aerococcus,1.0
100,Allofrancisella_vs_Aeromonas,1.0
101,Allofrancisella_vs_Afipia,1.0
102,Allofrancisella_vs_Agrobacterium,1.0
103,Allofrancisella_vs_Akkermansia,1.0
104,Allofrancisella_vs_Alistipes,1.0
105,Alloiococcus_vs_Acetivibrio,1.0
106,Alloiococcus_vs_Acetoanaerobium,1.0
107,Alloiococcus_vs_Acidaminococcus,1.0
108,Alloiococcus_vs_Acidobacterium,1.0
109,Alloiococcus_vs_Aciduliprofundum,1.0
110,Alloiococcus_vs_Actinomyces,1.0
111,Alloiococcus_vs_Acyrthosiphon,1.0
112,Alloiococcus_vs_Adlercreutzia,1.0
113,Alloiococcus_vs_Aerococcus,1.0
114,Alloiococcus_vs_Aeromonas,1.0
115,Alloiococcus_vs_Afipia,1.0
116,Alloiococcus_vs_Agrobacterium,1.0
117,Alloiococcus_vs_Akkermansia,1.0
118,Alloiococcus_vs_Alistipes,0.9976291836192038
119,Alloiococcus_vs_Allofrancisella,1.0
120,Alloprevotella_vs_Acetivibrio,1.0
121,Alloprevotella_vs_Acetoanaerobium,1.0
122,Alloprevotella_vs_Acidaminococcus,1.0
123,Alloprevotella_vs_Acidobacterium,1.0
124,Alloprevotella_vs_Aciduliprofundum,1.0
125,Alloprevotella_vs_Actinomyces,1.0
126,Alloprevotella_vs_Acyrthosiphon,1.0
127,Alloprevotella_vs_Adlercreutzia,1.0
128,Alloprevotella_vs_Aerococcus,1.0
129,Alloprevotella_vs_Aeromonas,1.0
130,Alloprevotella_vs_Afipia,1.0
131,Alloprevotella_vs_Agrobacterium,1.0
132,Alloprevotella_vs_Akkermansia,1.0
133,Alloprevotella_vs_Alistipes,0.9998547569626818
134,Alloprevotella_vs_Allofrancisella,1.0
135,Alloprevotella_vs_Alloiococcus,1.0
136,Anaerobium_vs_Acetivibrio,1.0
137,Anaerobium_vs_Acetoanaerobium,1.0
138,Anaerobium_vs_Acidaminococcus,1.0
139,Anaerobium_vs_Acidobacterium,1.0
140,Anaerobium_vs_Aciduliprofundum,1.0
141,Anaerobium_vs_Actinomyces,1.0
142,Anaerobium_vs_Acyrthosiphon,1.0
143,Anaerobium_vs_Adlercreutzia,1.0
144,Anaerobium_vs_Aerococcus,1.0
145,Anaerobium_vs_Aeromonas,1.0
146,Anaerobium_vs_Afipia,1.0
147,Anaerobium_vs_Agrobacterium,1.0
148,Anaerobium_vs_Akkermansia,1.0
149,Anaerobium_vs_Alistipes,0.9982370773641681
150,Anaerobium_vs_Allofrancisella,1.0
151,Anaerobium_vs_Alloiococcus,1.0
152,Anaerobium_vs_Alloprevotella,1.0
153,Anaerococcus_vs_Acetivibrio,1.0
