,VS,dij_list
121,Anaerobium_vs_Acetoanaerobium,1.0
122,Anaerobium_vs_Acidaminococcus,1.0
123,Anaerobium_vs_Acidimicrobium,1.0
124,Anaerobium_vs_Acidobacterium,1.0
125,Anaerobium_vs_Aciduliprofundum,1.0
126,Anaerobium_vs_Actinomyces,1.0
127,Anaerobium_vs_Acyrthosiphon,1.0
128,Anaerobium_vs_Adlercreutzia,1.0
129,Anaerobium_vs_Aerococcus,1.0
130,Anaerobium_vs_Afipia,1.0
131,Anaerobium_vs_Akkermansia,1.0
132,Anaerobium_vs_Alistipes,0.9955951957698098
133,Anaerobium_vs_Alkaliphilus,1.0
134,Anaerobium_vs_Alloprevotella,1.0
135,Anaerobium_vs_Amycolatopsis,1.0
136,Anaerococcus_vs_Acetivibrio,1.0
137,Anaerococcus_vs_Acetoanaerobium,1.0
138,Anaerococcus_vs_Acidaminococcus,1.0
139,Anaerococcus_vs_Acidimicrobium,1.0
140,Anaerococcus_vs_Acidobacterium,1.0
141,Anaerococcus_vs_Aciduliprofundum,1.0
142,Anaerococcus_vs_Actinomyces,0.9969890591885395
143,Anaerococcus_vs_Acyrthosiphon,1.0
144,Anaerococcus_vs_Adlercreutzia,0.99681693926681
145,Anaerococcus_vs_Aerococcus,1.0
146,Anaerococcus_vs_Afipia,1.0
147,Anaerococcus_vs_Akkermansia,0.997443409837695
148,Anaerococcus_vs_Alistipes,0.9909424175757229
149,Anaerococcus_vs_Alkaliphilus,1.0
150,Anaerococcus_vs_Alloprevotella,1.0
151,Anaerococcus_vs_Amycolatopsis,1.0
152,Anaerococcus_vs_Anaerobium,1.0
153,Anaerofustis_vs_Acetivibrio,1.0
154,Anaerofustis_vs_Acetoanaerobium,1.0
155,Anaerofustis_vs_Acidaminococcus,1.0
156,Anaerofustis_vs_Acidimicrobium,1.0
157,Anaerofustis_vs_Acidobacterium,1.0
158,Anaerofustis_vs_Aciduliprofundum,1.0
159,Anaerofustis_vs_Actinomyces,0.8923543165085532
160,Anaerofustis_vs_Acyrthosiphon,1.0
161,Anaerofustis_vs_Adlercreutzia,1.0
162,Anaerofustis_vs_Aerococcus,1.0
163,Anaerofustis_vs_Afipia,1.0
164,Anaerofustis_vs_Akkermansia,0.9208122830696253
165,Anaerofustis_vs_Alistipes,0.9905462784552235
166,Anaerofustis_vs_Alkaliphilus,1.0
167,Anaerofustis_vs_Alloprevotella,1.0
168,Anaerofustis_vs_Amycolatopsis,1.0
169,Anaerofustis_vs_Anaerobium,1.0
170,Anaerofustis_vs_Anaerococcus,1.0
171,Anaeroglobus_vs_Acetivibrio,1.0
172,Anaeroglobus_vs_Acetoanaerobium,1.0
173,Anaeroglobus_vs_Acidaminococcus,1.0
174,Anaeroglobus_vs_Acidimicrobium,1.0
175,Anaeroglobus_vs_Acidobacterium,1.0
176,Anaeroglobus_vs_Aciduliprofundum,1.0
177,Anaeroglobus_vs_Actinomyces,1.0
178,Anaeroglobus_vs_Acyrthosiphon,1.0
179,Anaeroglobus_vs_Adlercreutzia,1.0
180,Anaeroglobus_vs_Aerococcus,1.0
181,Anaeroglobus_vs_Afipia,1.0
182,Anaeroglobus_vs_Akkermansia,1.0
183,Anaeroglobus_vs_Alistipes,0.9997045372708828
184,Anaeroglobus_vs_Alkaliphilus,1.0
185,Anaeroglobus_vs_Alloprevotella,1.0
186,Anaeroglobus_vs_Amycolatopsis,1.0
187,Anaeroglobus_vs_Anaerobium,1.0
188,Anaeroglobus_vs_Anaerococcus,1.0
189,Anaeroglobus_vs_Anaerofustis,1.0
190,Anaerosporomusa_vs_Acetivibrio,1.0
191,Anaerosporomusa_vs_Acetoanaerobium,1.0
192,Anaerosporomusa_vs_Acidaminococcus,1.0
193,Anaerosporomusa_vs_Acidimicrobium,1.0
194,Anaerosporomusa_vs_Acidobacterium,1.0
195,Anaerosporomusa_vs_Aciduliprofundum,1.0
196,Anaerosporomusa_vs_Actinomyces,1.0
197,Anaerosporomusa_vs_Acyrthosiphon,1.0
198,Anaerosporomusa_vs_Adlercreutzia,1.0
199,Anaerosporomusa_vs_Aerococcus,1.0
200,Anaerosporomusa_vs_Afipia,1.0
201,Anaerosporomusa_vs_Akkermansia,1.0
202,Anaerosporomusa_vs_Alistipes,0.9992076172029074
203,Anaerosporomusa_vs_Alkaliphilus,1.0
204,Anaerosporomusa_vs_Alloprevotella,1.0
205,Anaerosporomusa_vs_Amycolatopsis,1.0
206,Anaerosporomusa_vs_Anaerobium,1.0
207,Anaerosporomusa_vs_Anaerococcus,1.0
208,Anaerosporomusa_vs_Anaerofustis,1.0
209,Anaerosporomusa_vs_Anaeroglobus,1.0
210,Anaerostipes_vs_Acetivibrio,1.0
211,Anaerostipes_vs_Acetoanaerobium,1.0
212,Anaerostipes_vs_Acidaminococcus,1.0
213,Anaerostipes_vs_Acidimicrobium,1.0
214,Anaerostipes_vs_Acidobacterium,1.0
215,Anaerostipes_vs_Aciduliprofundum,1.0
216,Anaerostipes_vs_Actinomyces,1.0
217,Anaerostipes_vs_Acyrthosiphon,0.9525392539657564
218,Anaerostipes_vs_Adlercreutzia,1.0
219,Anaerostipes_vs_Aerococcus,1.0
220,Anaerostipes_vs_Afipia,0.912939845212575
221,Anaerostipes_vs_Akkermansia,0.968292943671811
222,Anaerostipes_vs_Alistipes,0.9857380177124403
223,Anaerostipes_vs_Alkaliphilus,1.0
224,Anaerostipes_vs_Alloprevotella,1.0
225,Anaerostipes_vs_Amycolatopsis,0.912939845212575
226,Anaerostipes_vs_Anaerobium,1.0
227,Anaerostipes_vs_Anaerococcus,1.0
228,Anaerostipes_vs_Anaerofustis,1.0
229,Anaerostipes_vs_Anaeroglobus,1.0
230,Anaerostipes_vs_Anaerosporomusa,1.0
231,Anaerotruncus_vs_Acetivibrio,1.0
232,Anaerotruncus_vs_Acetoanaerobium,1.0
233,Anaerotruncus_vs_Acidaminococcus,1.0
234,Anaerotruncus_vs_Acidimicrobium,1.0
235,Anaerotruncus_vs_Acidobacterium,1.0
236,Anaerotruncus_vs_Aciduliprofundum,1.0
237,Anaerotruncus_vs_Actinomyces,0.9996193740272094
238,Anaerotruncus_vs_Acyrthosiphon,0.9996580812415955
239,Anaerotruncus_vs_Adlercreutzia,0.9996193740272094
240,Anaerotruncus_vs_Aerococcus,1.0
241,Anaerotruncus_vs_Afipia,0.998599087878022
242,Anaerotruncus_vs_Akkermansia,0.9926777013867852
243,Anaerotruncus_vs_Alistipes,0.9921822545585675
244,Anaerotruncus_vs_Alkaliphilus,1.0
