,VS,dij_list
0,Acidaminococcus_vs_Acetoanaerobium,1.0
1,Acidobacterium_vs_Acetoanaerobium,1.0
2,Acidobacterium_vs_Acidaminococcus,1.0
3,Aciduliprofundum_vs_Acetoanaerobium,1.0
4,Aciduliprofundum_vs_Acidaminococcus,1.0
5,Aciduliprofundum_vs_Acidobacterium,1.0
6,Actinomyces_vs_Acetoanaerobium,1.0
7,Actinomyces_vs_Acidaminococcus,1.0
8,Actinomyces_vs_Acidobacterium,1.0
9,Actinomyces_vs_Aciduliprofundum,1.0
10,Acyrthosiphon_vs_Acetoanaerobium,1.0
11,Acyrthosiphon_vs_Acidaminococcus,1.0
12,Acyrthosiphon_vs_Acidobacterium,1.0
13,Acyrthosiphon_vs_Aciduliprofundum,1.0
14,Acyrthosiphon_vs_Actinomyces,1.0
15,Adlercreutzia_vs_Acetoanaerobium,1.0
16,Adlercreutzia_vs_Acidaminococcus,1.0
17,Adlercreutzia_vs_Acidobacterium,1.0
18,Adlercreutzia_vs_Aciduliprofundum,1.0
19,Adlercreutzia_vs_Actinomyces,0.9398625211380592
20,Adlercreutzia_vs_Acyrthosiphon,1.0
21,Aerococcus_vs_Acetoanaerobium,1.0
22,Aerococcus_vs_Acidaminococcus,1.0
23,Aerococcus_vs_Acidobacterium,1.0
24,Aerococcus_vs_Aciduliprofundum,1.0
25,Aerococcus_vs_Actinomyces,0.9398625211380592
26,Aerococcus_vs_Acyrthosiphon,1.0
27,Aerococcus_vs_Adlercreutzia,0.6282215323449477
28,Aeromonas_vs_Acetoanaerobium,1.0
29,Aeromonas_vs_Acidaminococcus,1.0
30,Aeromonas_vs_Acidobacterium,1.0
31,Aeromonas_vs_Aciduliprofundum,1.0
32,Aeromonas_vs_Actinomyces,1.0
33,Aeromonas_vs_Acyrthosiphon,1.0
34,Aeromonas_vs_Adlercreutzia,1.0
35,Aeromonas_vs_Aerococcus,1.0
36,Afipia_vs_Acetoanaerobium,1.0
37,Afipia_vs_Acidaminococcus,1.0
38,Afipia_vs_Acidobacterium,1.0
39,Afipia_vs_Aciduliprofundum,1.0
40,Afipia_vs_Actinomyces,1.0
41,Afipia_vs_Acyrthosiphon,1.0
42,Afipia_vs_Adlercreutzia,1.0
43,Afipia_vs_Aerococcus,1.0
44,Afipia_vs_Aeromonas,1.0
45,Akkermansia_vs_Acetoanaerobium,1.0
46,Akkermansia_vs_Acidaminococcus,1.0
47,Akkermansia_vs_Acidobacterium,1.0
48,Akkermansia_vs_Aciduliprofundum,1.0
49,Akkermansia_vs_Actinomyces,0.9862584135391887
50,Akkermansia_vs_Acyrthosiphon,1.0
51,Akkermansia_vs_Adlercreutzia,1.0
52,Akkermansia_vs_Aerococcus,1.0
53,Akkermansia_vs_Aeromonas,1.0
54,Akkermansia_vs_Afipia,1.0
55,Alicyclobacillus_vs_Acetoanaerobium,1.0
56,Alicyclobacillus_vs_Acidaminococcus,1.0
57,Alicyclobacillus_vs_Acidobacterium,1.0
58,Alicyclobacillus_vs_Aciduliprofundum,1.0
59,Alicyclobacillus_vs_Actinomyces,1.0
60,Alicyclobacillus_vs_Acyrthosiphon,1.0
61,Alicyclobacillus_vs_Adlercreutzia,1.0
62,Alicyclobacillus_vs_Aerococcus,1.0
63,Alicyclobacillus_vs_Aeromonas,1.0
64,Alicyclobacillus_vs_Afipia,1.0
65,Alicyclobacillus_vs_Akkermansia,1.0
66,Alistipes_vs_Acetoanaerobium,1.0
67,Alistipes_vs_Acidaminococcus,0.9974980828761847
68,Alistipes_vs_Acidobacterium,0.9821580552523035
69,Alistipes_vs_Aciduliprofundum,0.9986199145680119
70,Alistipes_vs_Actinomyces,0.9514066605885645
71,Alistipes_vs_Acyrthosiphon,1.0
72,Alistipes_vs_Adlercreutzia,0.9598403373957523
73,Alistipes_vs_Aerococcus,0.9676523828079158
74,Alistipes_vs_Aeromonas,1.0
75,Alistipes_vs_Afipia,0.9961980387132217
76,Alistipes_vs_Akkermansia,0.9449578974863811
77,Alistipes_vs_Alicyclobacillus,0.9998167151273987
78,Allofrancisella_vs_Acetoanaerobium,1.0
79,Allofrancisella_vs_Acidaminococcus,1.0
80,Allofrancisella_vs_Acidobacterium,1.0
81,Allofrancisella_vs_Aciduliprofundum,1.0
82,Allofrancisella_vs_Actinomyces,1.0
83,Allofrancisella_vs_Acyrthosiphon,1.0
84,Allofrancisella_vs_Adlercreutzia,1.0
85,Allofrancisella_vs_Aerococcus,1.0
86,Allofrancisella_vs_Aeromonas,1.0
87,Allofrancisella_vs_Afipia,1.0
